2025/02/13 08:25:06 [error] 19#19: *83 open() "/assets/.git/HEAD" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /.git/HEAD HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 20#20: *85 open() "/assets/favicon.ico" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /favicon.ico HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *86 open() "/assets/r51287,/desktop,/utility/flag.js" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /r51287%2C/desktop%2C/utility/flag.js HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *89 open() "/assets/index.cfm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /index.cfm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *90 open() "/assets/nmaplowercheck1739435106" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /nmaplowercheck1739435106 HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *91 open() "/assets/webui" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /webui HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *92 open() "/assets/localstart.cgi" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.cgi HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *94 open() "/assets/pools/default/buckets" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /pools/default/buckets HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *95 open() "/assets/user" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /user HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *97 open() "/assets/admin.jsa" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.jsa HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *98 open() "/assets/pools" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /pools HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *99 open() "/assets/user" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /user HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *101 open() "/assets/robots.txt" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /robots.txt HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *102 open() "/assets/human.aspx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /human.aspx?arg12=infotech HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *103 open() "/assets/rest/applinks/1.0/manifest" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /rest/applinks/1.0/manifest HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *106 open() "/assets/main.shtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /main.shtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *108 open() "/assets/confluence/rest/applinks/1.0/manifest" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /confluence/rest/applinks/1.0/manifest HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *107 open() "/assets/human.aspx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /human.aspx?arg12=infotech HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *109 open() "/assets/home.pl" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /home.pl HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *111 open() "/assets/webui" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /webui HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 21#21: *112 open() "/assets/dana-cached/hc/HostCheckerInstaller.osx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /dana-cached/hc/HostCheckerInstaller.osx HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 21#21: *113 open() "/assets/indice.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /indice.php HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 21#21: *116 open() "/assets/dana-na/nc/nc_gina_ver.txt" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /dana-na/nc/nc_gina_ver.txt HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *118 open() "/assets/inicio.asp" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /inicio.asp HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *119 "/assets/owa/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /owa/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *120 open() "/assets/+CSCOE+/logon.html" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /+CSCOE+/logon.html HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *121 open() "/assets/t2qE" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /t2qE HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *122 open() "/assets/localstart.jhtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.jhtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:08 [error] 22#22: *123 open() "/assets/HNAP1" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /HNAP1 HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
